regioncode,folder,filename,path
4336700,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4336800,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4336900,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4340300,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4340400,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4342300,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4342400,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4342500,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4342800,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4343200,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4343300,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4344100,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4344200,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4344300,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4344400,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4344700,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4346800,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4348200,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4348400,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4350100,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4350500,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4350600,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4350700,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4351000,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4351100,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
4351200,sityousontou,43_kumamoto_region.geojson,GAS\sityousontou\43_kumamoto_region.geojson
